Français,Português,Audio (URL ou caminho)
Bienvenue !,Bem-vindo!,
Je m'appelle Pablo.,Meu nome é Pablo.,
Comment tu t'appelles ?,Qual é o seu nome?,
"Ça va bien, et toi ?","Tudo bem, e com você?",
J’ai une réunion à dix heures.,Tenho uma reunião às dez horas.,
Il fait chaud aujourd’hui.,Está quente hoje.,
Je veux apprendre le français.,Eu quero aprender francês.,
Où est la salle de réunion ?,Onde fica a sala de reunião?,
Je ne comprends pas.,Eu não entendo.,
Je travaille beaucoup cette semaine.,Eu trabalho muito esta semana.,
Merci beaucoup.,Muito obrigado.,
Je suis fatigué.,Estou cansado.,
J’ai besoin d’aide.,Preciso de ajuda.,
Tu parles anglais ?,Você fala inglês?,
Je suis désolé.,Desculpe.,
Qu’est-ce que c’est ?,O que é isso?,
Je suis étudiant.,Eu sou estudante.,
Je vais bien.,Estou bem.,
Il est tard.,Está tarde.,
Il est tôt.,Está cedo.,
Je n’ai pas le temps.,Não tenho tempo.,
Je suis en retard.,Estou atrasado.,
C’est une bonne idée.,É uma boa ideia.,
C’est difficile.,É difícil.,
C’est facile.,É fácil.,
Je suis ici.,Estou aqui.,
Je suis chez moi.,Estou em casa.,
Je suis au travail.,Estou no trabalho.,
Je suis à l’école.,Estou na escola.,
J’aime écouter de la musique.,Gosto de ouvir música.,
J’aime lire des livres.,Gosto de ler livros.,
Je vais à la maison.,Eu vou para casa.,
Je veux dormir.,Eu quero dormir.,
Je n’ai pas faim.,Não estou com fome.,
J’ai soif.,Estou com sede.,
C’est mon ami.,Esse é meu amigo.,
Tu es gentil.,Você é gentil.,
Bonne journée !,Bom dia!,
Bonne soirée !,Boa noite!,
Bonne nuit !,Boa noite (antes de dormir)!,
À demain !,Até amanhã!,
À bientôt !,Até logo!,
Au revoir !,Tchau!,
Félicitations !,Parabéns!,
C’est important.,É importante.,
C’est urgent.,É urgente.,
Je comprends un peu.,Eu entendo um pouco.,
Je suis perdu.,Estou perdido.,
Je cherche le métro.,Estou procurando o metrô.,
Combien ça coûte ?,Quanto custa?,
Je n’ai pas d’argent.,Não tenho dinheiro.,
Je voudrais un café.,Eu gostaria de um café.,
"L’addition, s’il vous plaît.","A conta, por favor.",
Où sont les toilettes ?,Onde fica o banheiro?,
J’ai oublié.,Eu esqueci.,
J’ai compris.,Eu entendi.,
C’est normal.,É normal.,
C’est bizarre.,É estranho.,
Je suis content.,Estou feliz.,
Il pleut.,Está chovendo.,
Il neige.,Está nevando.,
Il fait froid.,Está frio.,
Il fait beau.,Está um tempo bom.,
C’est loin.,É longe.,
C’est près d’ici.,É perto daqui.,
Je suis prêt.,Estou pronto.,
Je suis occupé.,Estou ocupado.,
J’ai une question.,Tenho uma pergunta.,
J’ai un problème.,Tenho um problema.,
C’est une erreur.,É um erro.,
C’est correct.,Está correto.,
C’est faux.,Está errado.,
Tu peux m’aider ?,Você pode me ajudar?,
Je t’aime.,Eu te amo.,
Je n’ai pas compris.,Eu não entendi.,
Je dois y aller.,Preciso ir.,
C’est l’heure.,É hora.,
Pas de problème.,Sem problema.,
D’accord.,Certo.,
Avec plaisir.,Com prazer.,
Enchanté.,Prazer em conhecê-lo.,
Je suis malade.,Estou doente.,
Appelle un médecin !,Chame um médico!,
J’ai mal à la tête.,Estou com dor de cabeça.,
"Je vais bien, merci.","Estou bem, obrigado.",
Fais attention !,Tome cuidado!,
Bonne chance !,Boa sorte!,
Je veux réussir.,Quero ter sucesso.,
Je suis motivé.,Estou motivado.,
Je parle un peu français.,Eu falo um pouco de francês.,
Je veux parler couramment.,Quero falar fluentemente.,
Tu me comprends ?,Você me entende?,
Je t’entends.,Estou te ouvindo.,
Attends une minute.,Espere um minuto.,
"Répète, s’il te plaît.","Repete, por favor.",
"Plus lentement, s’il te plaît.","Mais devagar, por favor.",
Je suis nerveux.,Estou nervoso.,
C’est incroyable !,É incrível!,
Je suis fier de moi.,Estou orgulhoso de mim.,
Je vais continuer.,Eu vou continuar.,
